2013-07-21 15:58:05,630 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-07-21 15:58:06,008 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-57233-1374415085658-0:1) is starting
2013-07-21 15:58:06,026 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-07-21 15:58:06,034 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-07-21 15:58:06,075 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-57233-1374415085658-0:1) started
2013-07-21 15:58:06,085 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-07-21 16:13:37,247 WARN  [ActiveMQ NIO Worker 37] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57285 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:13:50,276 WARN  [ActiveMQ NIO Worker 37] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57276 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:13:53,605 WARN  [ActiveMQ NIO Worker 38] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57245 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:20:01,737 WARN  [ActiveMQ NIO Worker 45] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57291 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:23:25,543 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-07-21 16:23:25,716 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-57312-1374416605557-0:1) is starting
2013-07-21 16:23:25,725 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-07-21 16:23:25,728 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-07-21 16:23:25,731 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-57312-1374416605557-0:1) started
2013-07-21 16:23:25,731 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-07-21 16:26:54,043 WARN  [ActiveMQ NIO Worker 10] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57330 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:26:58,338 WARN  [ActiveMQ NIO Worker 10] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57321 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:37:07,651 WARN  [ActiveMQ NIO Worker 40] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57419 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:44:19,151 WARN  [ActiveMQ NIO Worker 58] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57447 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:50:33,797 WARN  [ActiveMQ NIO Worker 74] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57481 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:50:54,078 WARN  [ActiveMQ NIO Worker 76] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57492 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 16:51:55,033 WARN  [ActiveMQ NIO Worker 80] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57503 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 17:39:11,681 WARN  [ActiveMQ NIO Worker 178] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57512 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 17:43:38,299 WARN  [ActiveMQ NIO Worker 191] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57555 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-07-21 17:44:07,495 WARN  [ActiveMQ NIO Worker 193] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:57564 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-04 22:22:40,878 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-04 22:22:41,271 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-50323-1380918160922-0:1) is starting
2013-10-04 22:22:41,282 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-04 22:22:41,285 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-04 22:22:41,366 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-50323-1380918160922-0:1) started
2013-10-04 22:22:41,367 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-06 17:12:19,100 WARN  [ActiveMQ NIO Worker 1265] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:50332 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 17:12:28,121 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-06 17:12:28,288 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56455-1381072348135-0:1) is starting
2013-10-06 17:12:28,296 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-06 17:12:28,299 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-06 17:12:28,301 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56455-1381072348135-0:1) started
2013-10-06 17:12:28,301 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-06 17:13:33,352 WARN  [ActiveMQ NIO Worker 8] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56464 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 17:13:46,574 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-06 17:13:46,872 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56472-1381072426610-0:1) is starting
2013-10-06 17:13:46,890 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-06 17:13:46,893 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-06 17:13:46,897 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56472-1381072426610-0:1) started
2013-10-06 17:13:46,897 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-06 17:39:23,629 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-06 17:39:23,795 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56629-1381073963643-0:1) is starting
2013-10-06 17:39:23,802 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-06 17:39:23,804 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-06 17:39:23,806 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56629-1381073963643-0:1) started
2013-10-06 17:39:23,807 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-06 17:41:35,602 WARN  [ActiveMQ NIO Worker 7] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56640 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 17:43:07,670 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-06 17:43:07,847 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56658-1381074187687-0:1) is starting
2013-10-06 17:43:07,855 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-06 17:43:07,857 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-06 17:43:07,859 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-56658-1381074187687-0:1) started
2013-10-06 17:43:07,860 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-06 17:46:55,857 WARN  [ActiveMQ NIO Worker 12] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56669 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:01:09,804 WARN  [ActiveMQ NIO Worker 43] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56680 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:07:41,967 WARN  [ActiveMQ NIO Worker 46] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56729 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:09:27,317 WARN  [ActiveMQ NIO Worker 49] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56759 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:11:15,765 WARN  [ActiveMQ NIO Worker 54] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56771 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-06 18:50:14,892 WARN  [ActiveMQ NIO Worker 131] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:56784 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
